ID,Education,Marital_Status,Income,NumDealsPurchases,Age,Kids,Days_Enrolled,Total_Spend,CouponsAccepted,Total_Purchases,Recency_
5524,Graduation,Single,58138.0,3,"(60, 70]",0,663,1617,1,22,4.142857142857143
2174,Graduation,Single,46344.0,2,"(60, 70]",2,113,27,0,4,2.7142857142857144
4141,Graduation,Relationship,71613.0,1,"(50, 60]",0,312,776,0,20,1.8571428571428572
6182,Graduation,Relationship,26646.0,2,"(30,40]",1,139,53,0,6,1.8571428571428572
5324,PhD,Relationship,58293.0,5,"(40,50]",1,161,422,0,14,6.714285714285714
7446,Master,Relationship,62513.0,2,"(50, 60]",1,293,716,0,20,1.1428571428571428
965,Graduation,Single,55635.0,4,"(50, 60]",1,593,590,0,17,2.4285714285714284
6177,PhD,Relationship,33454.0,2,"(30,40]",1,417,169,0,8,2.2857142857142856
4855,PhD,Relationship,30351.0,1,"(40,50]",1,388,46,1,5,1.3571428571428572
5899,PhD,Relationship,5648.0,1,70,2,108,49,1,1,4.857142857142857
1994,Graduation,Relationship,52720.37365591398,1,"(40,50]",1,226,19,0,3,0.7857142857142857
387,Basic,Relationship,7500.0,1,"(40,50]",0,593,61,0,5,4.214285714285714
2125,Graduation,Single,63033.0,1,"(60, 70]",0,226,1102,0,15,5.857142857142857
8180,Master,Single,59354.0,3,70,2,226,310,0,12,3.7857142857142856
2569,Graduation,Relationship,17323.0,1,"(30,40]",0,627,46,0,4,2.7142857142857144
2114,PhD,Single,82800.0,1,70,0,582,1315,3,25,1.6428571428571428
9736,Graduation,Relationship,41850.0,3,"(40,50]",2,552,96,0,6,3.642857142857143
4939,Graduation,Relationship,37760.0,2,70,0,667,317,0,11,1.4285714285714286
6565,Master,Relationship,76995.0,2,70,1,458,1782,1,24,6.5
2278,Master,Single,33812.0,2,"(30,40]",1,603,133,0,6,6.142857142857143
9360,Graduation,Relationship,37040.0,1,"(40,50]",0,690,316,0,11,2.9285714285714284
5376,Graduation,Relationship,2447.0,15,"(40,50]",1,539,1730,0,28,3.0
1993,PhD,Relationship,58607.0,3,70,1,553,972,1,14,4.5
4047,PhD,Relationship,65324.0,3,"(60, 70]",1,169,544,0,17,0.0
1409,Graduation,Relationship,40689.0,7,70,1,468,444,0,13,4.928571428571429
7892,Graduation,Single,18589.0,2,"(50, 60]",0,543,75,0,6,6.357142857142857
2404,Graduation,Relationship,53359.0,4,"(40,50]",2,398,257,0,10,0.2857142857142857
5255,Graduation,Single,52720.37365591398,0,"(30,40]",1,494,637,0,27,1.3571428571428572
9422,Graduation,Relationship,38360.0,2,"(30,40]",1,394,131,0,7,1.8571428571428572
1966,PhD,Relationship,84618.0,1,"(50, 60]",0,219,1672,1,25,6.857142857142857
6864,Master,Single,10979.0,2,"(30,40]",0,38,30,0,6,2.4285714285714284
3033,Master,Relationship,38620.0,1,"(60, 70]",0,414,318,0,10,4.0
5710,Graduation,Relationship,40548.0,2,"(50, 60]",1,627,120,1,7,2.2142857142857144
7373,PhD,Single,46610.0,6,70,2,608,302,1,11,0.5714285714285714
8755,Master,Relationship,68657.0,1,70,0,494,1196,0,17,0.2857142857142857
10738,Master,Single,49389.0,1,70,2,304,65,0,5,3.9285714285714284
4339,PhD,Relationship,67353.0,5,"(50, 60]",1,180,913,0,23,2.642857142857143
10755,Master,Relationship,23718.0,3,"(40,50]",1,300,81,0,6,5.428571428571429
8595,Graduation,Single,42429.0,2,"(50, 60]",1,138,67,0,5,7.071428571428571
2968,PhD,Single,48948.0,2,70,0,513,902,2,22,3.7857142857142856
8601,Graduation,Relationship,80011.0,2,"(40,50]",1,426,1395,0,19,0.21428571428571427
503,Master,Relationship,20559.0,2,"(30,40]",1,474,53,0,5,6.285714285714286
8430,Graduation,Relationship,21994.0,1,"(60, 70]",1,552,22,0,3,0.2857142857142857
7281,PhD,Single,56145.31392931393,1,"(60, 70]",0,236,186,0,8,5.714285714285714
2139,Master,Relationship,7500.0,3,"(40,50]",1,270,31,0,5,1.3571428571428572
1371,Graduation,Single,79941.0,1,"(40,50]",0,1,984,0,15,5.142857142857143
9909,Master,Relationship,7500.0,3,"(0,30]",0,597,122,1,7,1.7142857142857142
7286,Graduation,Relationship,41728.0,1,"(50, 60]",1,401,55,0,4,6.571428571428571
7244,Graduation,Single,52720.37365591398,3,70,3,179,124,0,7,6.857142857142857
6566,PhD,Relationship,72550.0,9,"(60, 70]",2,598,1319,0,19,2.7857142857142856
8614,Graduation,Single,65486.0,1,"(60, 70]",1,48,507,0,16,2.0714285714285716
4114,Master,Relationship,79143.0,1,"(50, 60]",0,687,1693,0,28,0.14285714285714285
1331,Graduation,Single,35790.0,2,"(40,50]",1,543,72,0,5,3.857142857142857
2225,Graduation,Single,82582.0,1,"(40,50]",0,22,1617,3,20,3.857142857142857
9381,Graduation,Relationship,66373.0,7,"(40,50]",2,382,606,0,16,4.071428571428571
